Feature,Importance
Feature 866,5.572792e-05
Feature 867,7.268568e-05
Feature 868,8.020138e-05
Feature 869,5.7340243e-05
Feature 870,4.71796e-05
Feature 871,6.945098e-05
Feature 872,8.921969e-05
Feature 873,5.7022644e-05
Feature 874,5.336962e-05
Feature 875,4.749944e-05
Feature 876,4.3242148e-05
Feature 877,6.8862566e-05
Feature 878,4.5577377e-05
Feature 879,6.8950525e-05
Feature 880,5.6889545e-05
Feature 881,5.5036646e-05
Feature 882,6.0083472e-05
Feature 883,8.602181e-05
Feature 884,4.5296463e-05
Feature 885,6.026661e-05
Feature 886,0.000104546794
Feature 887,8.294254e-05
Feature 888,8.015608e-05
Feature 889,6.699992e-05
Feature 890,6.798764e-05
Feature 891,6.481544e-05
Feature 892,7.787977e-05
Feature 893,8.1232356e-05
Feature 894,6.2296305e-05
Feature 895,5.9194288e-05
Feature 896,4.6161178e-05
Feature 897,5.9781047e-05
Feature 898,5.278248e-05
Feature 899,5.5320797e-05
Feature 900,6.619117e-05
Feature 901,6.259349e-05
Feature 902,7.548784e-05
Feature 903,8.1739694e-05
Feature 904,5.5035358e-05
Feature 905,5.617416e-05
Feature 906,5.8153277e-05
Feature 907,4.7511923e-05
Feature 908,6.773007e-05
Feature 909,7.910727e-05
Feature 910,6.509282e-05
Feature 911,4.4362605e-05
Feature 912,3.8952883e-05
Feature 913,5.9791364e-05
Feature 914,6.647905e-05
Feature 915,5.152957e-05
Feature 916,4.983645e-05
Feature 917,5.7999336e-05
Feature 918,6.8683556e-05
Feature 919,5.5261462e-05
Feature 920,6.901688e-05
Feature 921,7.676383e-05
Feature 922,6.0431277e-05
Feature 923,4.5427405e-05
Feature 924,5.6209064e-05
Feature 925,5.9476806e-05
Feature 926,4.8584843e-05
Feature 927,5.4871427e-05
Feature 928,5.9411726e-05
Feature 929,5.250796e-05
Feature 930,4.087469e-05
Feature 931,7.4071875e-05
Feature 932,5.705852e-05
Feature 933,5.419409e-05
Feature 934,5.4223976e-05
Feature 935,8.541062e-05
Feature 936,5.7981524e-05
Feature 937,8.2033606e-05
Feature 938,3.8313425e-05
Feature 939,9.8804616e-05
Feature 940,4.3750824e-05
Feature 941,5.8292087e-05
Feature 942,6.1951076e-05
Feature 943,6.096428e-05
Feature 944,4.558463e-05
Feature 945,5.157572e-05
Feature 946,5.1491697e-05
Feature 947,7.850746e-05
Feature 948,7.017529e-05
Feature 949,8.058174e-05
Feature 950,7.504674e-05
Feature 951,5.391629e-05
Feature 952,6.9128575e-05
Feature 953,6.620371e-05
Feature 954,7.3256684e-05
Feature 955,4.972197e-05
Feature 956,6.459229e-05
Feature 957,5.5343e-05
Feature 958,6.4500266e-05
Feature 959,6.9107184e-05
Feature 960,3.3908957e-05
Feature 961,4.6070214e-05
Feature 962,7.2499926e-05
Feature 963,5.1815838e-05
